lat,lon
11.8,90.4
13.5,93.0
12.5,81.0
12.0,81.9
18.0,88.0
21.2,88.0
20.5,88.0
11.2,89.7
5.5,88.5
12.9,94.6
24.0,90.0
23.0,85.5
23.0,82.0
12.3,88.6
6.2,87.8
9.3,95.2
9.9,84.8
9.0,86.4
21.0,88.5
18.0,86.0
21.5,89.5
17.5,84.5
14.9,94.9
7.5,90.0
9.5,87.0
5.6,99.6
8.2,89.9
16.9,90.3
19.5,88.0
11.2,88.2
18.0,86.0
16.5,86.0
17.5,89.5
10.5,84.0
10.5,85.0
9.0,87.4
9.1,88.1
21.0,89.0
19.0,88.0
22.0,89.0
22.5,88.5
18.0,91.0
7.5,92.3
14.0,82.0
10.0,91.2
13.6,90.8
20.5,90.0
20.3,88.5
15.0,84.0
14.5,89.5
10.0,83.0
10.0,95.0
9.6,90.3
12.2,88.1
18.1,89.7
18.1,98.9
10.0,96.8
10.1,89.1
12.1,92.8
8.5,83.5
6.3,96.1
7.4,95.5
11.0,85.5
11.0,80.5
14.5,81.5
19.5,86.5
21.5,87.5
8.6,96.4
5.4,97.2
7.5,91.5
8.2,87.8
24.0,84.0
15.0,82.0
9.1,91.7
9.1,93.2
15.0,97.3
8.9,92.3
21.0,89.5
21.0,89.0
20.0,91.0
20.5,87.5
19.5,87.0
14.2,84.0
7.9,81.6
17.5,87.5
15.5,82.5
11.0,90.0
11.4,87.3
7.7,92.0
18.5,91.4
18.5,86.0
21.0,89.0
21.0,88.5
14.5,92.7
11.5,99.2
9.5,88.5
7.5,90.0
16.5,83.5
14.7,89.0
13.5,93.0
8.5,91.5
8.0,86.0
19.5,87.0
13.5,84.0
12.0,83.6
8.4,95.5
13.5,81.5
11.7,82.5
9.5,88.8
5.0,91.3
21.0,89.0
20.5,88.5
16.5,84.0
14.8,89.7
15.5,90.0
22.5,88.5
11.5,87.0
22.5,87.0
21.5,88.0
21.5,87.5
20.0,88.0
20.0,90.5
17.4,85.9
12.4,87.6
8.0,84.5
9.4,96.1
8.7,93.0
6.4,89.9
8.4,90.1
20.0,88.3
20.5,87.5
21.0,88.0
20.5,88.0
20.5,87.5
20.5,88.5
23.0,86.5
17.7,89.4
15.0,90.5
14.5,88.4
18.1,89.3
9.6,93.2
10.5,90.3
21.5,90.0
20.0,86.0
19.7,88.8
16.0,85.0
10.5,89.0
8.7,81.8
5.8,91.5
12.6,87.7
16.9,88.8
21.0,88.5
19.4,88.8
6.5,85.0
9.8,90.4
16.5,84.5
17.5,90.0
16.7,92.6
14.0,82.0
6.5,82.5
21.5,89.0
23.5,84.5
21.5,87.5
15.2,89.5
8.9,88.4
21.0,91.0
11.1,87.1
14.2,90.2
21.0,89.5
21.0,88.0
22.0,87.5
11.8,97.6
13.3,90.0
9.0,84.3
7.6,85.5
15.5,90.5
22.0,87.0
21.5,88.5
10.7,96.1
12.8,87.8
18.0,86.0
23.1,85.1
